sira,kelime,artikel,cogul,genitiv_tekil,frekans,coklu_anlam_uyari
1,Bitte,die,Bitten,Bitte,261548,
2,Leben,das,Leben,Lebens,167721,
3,Frau,die,Frauen,Frau,143725,
4,Leid,das,-,Leids,140641,
5,Hallo,das,Hallos,Hallos,128561,
6,Vater,der,Väter,Vaters,109048,
7,Glaube,der,-,Glaubens,105941,
8,Liebe,die,Lieben,Liebe,99301,
9,Geld,das,Gelder,Gelds,98052,
10,Mutter,die,Mütter,Mutter,95349,
11,Paar,das,Paare,Paares,93818,
12,Sir,der,Sirs,Sirs,92012,
13,Nacht,die,Nächte,Nacht,85102,
14,Hören,das,-,Hörens,76109,
15,Mädchen,das,Mädchen,Mädchens,72685,
16,Abend,der,Abende,Abends,71375,
17,Haus,das,Häuser,Hauses,70976,
18,Denke,die,-,Denke,70824,
19,Freund,der,Freunde,Freunds,69586,
20,Warte,die,Warten,Warte,68407,
21,Essen,das,Essen,Essens,67594,
22,Angst,die,Ängste,Angst,67249,
23,Welt,die,Welten,Welt,66821,
24,Rein,die,Reinen,Rein,64028,
25,Glauben,der,-,Glaubens,63577,
26,Moment,der,Momente,Moments,61265,"EVET - iki farkli cinsiyeti var, kontrol et"
27,Junge,der,-,Jungen,60843,
28,Musik,die,Musiken,Musik,59500,
29,Arbeit,die,Arbeiten,Arbeit,59309,
30,Herr,der,Herren,Herrn,58200,
31,Familie,die,Familien,Familie,57288,
32,Problem,das,Probleme,Problems,54783,
33,Sohn,der,Söhne,Sohns,54396,
34,Halt,der,-,Halts,53723,
35,Sprechen,das,-,Sprechens,53232,
36,Hilfe,die,Hilfen,Hilfe,52679,
37,Kind,das,Kinder,Kindes,50922,
38,Bruder,der,Brüder,Bruders,50137,
39,Denken,das,-,Denkens,49912,
40,Fall,der,Fälle,Falls,49042,"EVET - iki farkli cinsiyeti var, kontrol et"
41,Vergessen,das,-,Vergessens,47889,
42,Frage,die,Fragen,Frage,47512,
43,Sage,die,Sagen,Sage,47197,
44,Stadt,die,Städte,Stadt,45812,
45,Baby,das,Babys,Babys,45434,
46,Fahren,das,-,Fahrens,45060,
47,Namen,der,Namen,Namens,44998,
48,Kopf,der,Köpfe,Kopfs,44851,
49,Glück,das,-,Glückes,44295,
50,Letzte,die,-,-,44246,
51,All,das,-,Alls,43808,
52,Töten,das,-,Tötens,42735,
53,Ahnung,die,Ahnungen,Ahnung,41525,
54,Bisschen,das,Bisschen,Bisschens,41471,
55,Tür,die,Türen,Tür,41457,
56,Auto,das,Autos,Autos,41372,
57,Polizei,die,Polizeien,Polizei,40572,
58,Sterben,das,-,Sterbens,40334,
59,Treffen,das,Treffen,Treffens,38758,
60,Tochter,die,Töchter,Tochter,37375,
61,Idee,die,Ideen,Idee,37181,
62,Schwester,die,Schwestern,Schwester,37032,
63,Name,der,Namen,Namens,36668,
64,Kerl,der,-,Kerls,36512,
65,Job,der,Jobs,Jobs,35995,
66,Spielen,das,-,Spielens,35600,
67,Teufel,der,Teufel,Teufels,35421,
68,Hand,die,Hände,Hand,35247,
69,Grund,der,Gründe,Grunds,35243,
70,Mama,die,Mamas,Mama,34883,
71,Ruhe,die,-,Ruhe,34794,
72,Tod,der,Tode,Todes,34408,
73,Gestern,das,-,Gestern,34095,
74,Art,die,Arten,Art,34062,
75,Schatz,der,Schätze,Schatzes,34026,
76,Miss,die,-,Miss,33536,
77,Wasser,das,-,Wassers,33387,
78,Geschichte,die,Geschichten,Geschichte,33070,
79,Wahrheit,die,Wahrheiten,Wahrheit,32627,
80,Woche,die,Wochen,Woche,32543,
81,Alter,der,-,-,32101,"EVET - iki farkli cinsiyeti var, kontrol et"
82,Schau,die,Schauen,Schau,32038,
83,Land,das,-,Lands,31728,
84,Zimmer,das,Zimmer,Zimmers,31727,
85,Gefallen,der,Gefallen,Gefallens,31368,"EVET - iki farkli cinsiyeti var, kontrol et"
86,Spaß,der,Späße,Spaßes,31361,
87,Schuld,die,Schulden,Schuld,31228,
88,Verlassen,das,-,Verlassens,31021,
89,Beste,die,-,-,30671,
90,Ort,der,-,Orts,30562,"EVET - iki farkli cinsiyeti var, kontrol et"
91,Seite,die,Seiten,Seite,30345,
92,Spiel,das,Spiele,Spiels,30057,
93,Chance,die,Chancen,Chance,29888,
94,Freundin,die,Freundinnen,Freundin,29850,
95,Krieg,der,Kriege,Krieges,29815,
96,Erzählen,das,-,Erzählens,29301,
97,Bett,das,Betten,Betts,28931,
98,Schule,die,Schulen,Schule,28409,
99,Entschuldigung,die,Entschuldigungen,Entschuldigung,28406,
100,Wort,das,Wörter,Worts,28327,
101,TU,die,TUs,TU,27733,
102,Gesicht,das,-,Gesichts,27489,
103,Sorge,die,Sorgen,Sorge,26812,
104,Trinken,das,-,Trinkens,26484,
105,Ding,das,-,Dings,26389,
106,Kriegen,das,-,Kriegen,26366,
107,Blut,das,Blute,Bluts,26293,
108,Alte,die,-,-,25827,
109,Alt,der,Alte,Alts,25682,"EVET - iki farkli cinsiyeti var, kontrol et"
110,Wiedersehen,das,Wiedersehen,Wiedersehens,25645,
111,Fest,das,Feste,Festes,25199,
112,Waffe,die,Waffen,Waffe,25140,
113,Platz,der,Plätze,Platzes,24820,
114,Rede,die,Reden,Rede,24754,
115,Papa,der,Papas,Papas,24707,"EVET - iki farkli cinsiyeti var, kontrol et"
116,Nummer,die,Nummern,Nummer,24641,
117,Telefon,das,Telefone,Telefons,23581,
118,Willkommen,das,Willkommen,Willkommens,23375,
119,Plan,der,Pläne,Plans,23291,
120,Retten,das,-,Rettens,23258,
121,Fehler,der,Fehler,Fehlers,22947,
122,Dollar,der,-,Dollars,22913,
123,Pass,der,Pässe,Passes,22790,
124,Stunde,die,Stunden,Stunde,22665,
